date,day,home_departure_time,home_departure_mileage,work_arrival_time,work_arrival_mileage,comments_from_home_to_work,work_departure_time,work_departure_mileage,home_arrival_time,home_arrival_mileage,comments_from_work_to_home,minutes,departure_hour,mileage_to_work,minutes_to_home,work_departure_time_hr,mileage_to_home
2/8/2024,Thu,2024-02-08 07:45:00,36730.0,2024-02-08 09:03:00,36782.0,,2024-02-08 17:14:00,36784.0,2024-02-08 18:30:00,36837.0,,78.0,7.75,52.0,76.0,17.233333333333334,53.0
2/12/2024,Mon,2024-02-12 08:13:00,37140.0,2024-02-12 09:21:00,37192.0,,2024-02-12 17:45:00,37192.0,2024-02-12 18:43:00,37244.0,,68.00000000000001,8.216666666666669,52.0,58.0,17.750000000000004,52.0
2/13/2024,Tue,2024-02-13 07:47:00,37281.0,2024-02-13 08:58:00,37333.0,,,,,,,71.0,7.783333333333333,52.0,,,
2/15/2024,Thu,2024-02-15 08:05:00,37438.0,2024-02-15 09:14:00,37491.0,snowy weather,,,,,,69.0,8.083333333333334,53.0,,,
2/16/2024,Fri,2024-02-16 07:41:00,58968.0,2024-02-16 08:52:00,59022.0,got gas at Gig Harbor Costco,,,,,,71.0,7.683333333333334,54.0,,,
2/19/2024,Mon,2024-02-19 07:28:00,37867.0,2024-02-19 08:34:00,37920.0,got gas at Gig Harbor Costco; Presidents' Day,2024-02-19 17:11:00,37920.0,2024-02-19 18:16:00,37972.0,Presidents' Day,66.00000000000001,7.466666666666667,53.0,65.00000000000001,17.183333333333337,52.0
2/20/2024,Tue,2024-02-20 07:36:00,38009.0,2024-02-20 08:54:00,38062.0,,2024-02-20 17:16:00,38062.0,2024-02-20 19:01:00,38116.0,,78.0,7.6,53.0,105.0,17.26666666666667,54.0
2/22/2024,Thu,2024-02-22 07:46:00,38231.0,2024-02-22 08:56:00,38284.0,got gas at Gig Harbor Costco,,,,,,70.0,7.766666666666667,53.0,,,
2/27/2024,Tue,2024-02-27 07:31:00,38525.0,2024-02-27 08:56:00,38578.0,,,,,,,85.0,7.516666666666667,53.0,,,
2/29/2024,Thu,2024-02-29 07:33:00,38632.0,2024-02-29 09:04:00,38685.0,,,,,,,91.0,7.55,53.0,,,
3/4/2024,Mon,2024-03-04 07:35:00,39120.0,2024-03-04 08:43:00,39173.0,,2024-03-04 17:16:00,39173.0,2024-03-04 18:27:00,39225.0,,68.00000000000001,7.583333333333333,53.0,71.0,17.26666666666667,52.0
3/5/2024,Tue,2024-03-05 07:27:00,59161.0,2024-03-05 08:57:00,59214.0,,2024-03-05 17:17:00,59214.0,2024-03-05 18:46:00,59269.0,got gas at Gig Harbor Costco,90.0,7.45,53.0,89.0,17.283333333333335,55.0
3/7/2024,Thu,2024-03-07 07:36:00,59270.0,2024-03-07 08:59:00,59323.0,,,,,,,83.0,7.6,53.0,,,
